Brand,Device,Manufacturer,Model Name,RAM (TotalMem),Form Factor,System on Chip,GPU,Screen Sizes,Screen Densities,ABIs,Android SDK Versions,OpenGL ES Versions,Install base
Prism,sindorim,Prism,UHD Android TV,1402MB,TV,MStar T22,ARM Mali 470 (550 MHz),1080x1920,320,armeabi;armeabi-v7a,28,2,0
Profilo,martin,Profilo,Turkey,956MB,TV,Mediatek t56,ARM Mali G31 (550 MHz),720x1280,213,armeabi;armeabi-v7a,30,3.2,0
BenQ,samseong,BenQ,E55-720,1402MB,TV,MStar T22,ARM Mali 470 (550 MHz),1080x1920,320,armeabi;armeabi-v7a,28,2,0
realme,BOS,realme,TV Stick,1036MB,TV,Amlogic AMLS805X2,3x ARM Mali 450 (750 MHz),720x1280,213,armeabi;armeabi-v7a,30,3.2,0
SKB,BIP-AI100,SK broadband,AI2,1864MB,TV,Marvell BG5-CT,Imagination Tech PowerVR GE8310 (600 MHz),1080x1920,320,armeabi;armeabi-v7a,29,3.2,0
K-ELEC,stanford,K-ELEC,KELEC,956MB,TV,Mediatek t56,ARM Mali G31 (550 MHz),720x1280,213,armeabi;armeabi-v7a,30,3.2,0
Homatics,HND,Homatics,Box Q,2086MB,TV,Amlogic AMLS905X3,2x ARM Mali G31 (850 MHz),1080x1920,320,armeabi;armeabi-v7a,29,3.2,0
realme,SW4H_FF,Realme,realme Smart TV,1766MB,TV,Mediatek t32,ARM Mali G52 (550 MHz),1080x1920,320,armeabi;armeabi-v7a,29,3.2,0
nano,osaki,Nano,Smart TV,951MB,TV,MStar T16,ARM Mali 470 (550 MHz),720x1280,213,armeabi;armeabi-v7a,28,2,0
SINGER,sunnyvale,Singer,SINGER ANDROID TV,960MB,TV,Mediatek t56,ARM Mali G31 (550 MHz),720x1280,213,armeabi;armeabi-v7a,30,3.2,0
HEC,dupont,Haier,HEC Android TV DVB,1438MB,TV,Mediatek t32,ARM Mali G52 (550 MHz),1080x1920,320,armeabi;armeabi-v7a,30,3.2,0
KT,KSTB6188,Korea Telecom,KSTB6188,3141MB,TV,Amlogic AMLS905X4,2x ARM Mali G31 (850 MHz),1080x1920,320,armeabi;armeabi-v7a,30,3.2,0
Sony,BRAVIA_UR1_4K,Sony,BRAVIA 4K UR1,3463MB,TV,Mediatek MT5833,3x ARM Mali G71 (700 MHz),1080x1920,320,armeabi;armeabi-v7a,28,3.2,0
CHG_Tv_Hub,uzx8020chm,Technicolor,Tv Hub,1473MB,TV,Broadcom BCM7271,,1080x1920,320,armeabi;armeabi-v7a,28,3.1,0
Yettel,STB_BG_B866V2H01,Yettel,STB BG,2085MB,TV,Amlogic AMLS905X4,2x ARM Mali G31 (850 MHz),1080x1920,320,armeabi;armeabi-v7a,30,3.2,0
Rindo,ikebukuro,Rindo,R-32B6600,951MB,TV,MStar T16,ARM Mali 470 (550 MHz),720x1280,213,armeabi;armeabi-v7a,28,2,0
VIVAX,longshan,Vivax,Smart TV,1874MB,TV,Mediatek t31,ARM Mali G52 (550 MHz),1080x1920,320,armeabi;armeabi-v7a,30,3.2,0
Wansa,samseong,Wansa,WUD55JOA63S,1402MB,TV,MStar T22,ARM Mali 470 (550 MHz),1080x1920,320,armeabi;armeabi-v7a,28,2,0
Panasonic,SW3H_ATV,Panasonic,Panasonic TV,1641MB,TV,Mediatek MT5597,ARM Mali 450 (492 MHz),1080x1920,320,armeabi;armeabi-v7a,28,2,0
ASTECH,yeongdeungpo,ASTECH,Senegal,1402MB,TV,MStar T22,ARM Mali 470 (550 MHz),1080x1920,320,armeabi;armeabi-v7a,28,2,0
Foxtel,dwt765fxt,Foxtel,Foxtel Now box,1054MB,TV,Marvell BG4-CT,,1080x1920,320,armeabi;armeabi-v7a,24,3.2,0
MEO,DIW377-MEO,MEO(Portugal),MEOBox 4K v2,2006MB,TV,Broadcom BCM72127,,1080x1920,320,armeabi;armeabi-v7a,31,3.1,0
Wind,uzw4030wnh,Technicolor,Wind,2084MB,TV,Amlogic AMLS905,,1080x1920,320,armeabi;armeabi-v7a,28,2,0
NVIDIA,foster,NVIDIA,SHIELD Android TV,3093MB,TV,NVidia Tegra X1 T210,NVidia Maxwell  (1000 MHz),1080x1920,320,arm64-v8a;armeabi;armeabi-v7a,30,3.2,0
Widevu,yeongdeungpo,Widevu,Korea,1416MB,TV,MStar T22,ARM Mali 470 (550 MHz),1080x1920,320,armeabi;armeabi-v7a,28,2,0
Kogan,longshan,Kogan,Smart TV,1874MB,TV,Mediatek t31,ARM Mali G52 (550 MHz),1080x1920,320,armeabi;armeabi-v7a,30,3.2,0
SHARP,sandiego,Sharp,FV1,2962MB,TV,Mediatek t51p,2x ARM Mali G52 (500 MHz),1080x1920,320,armeabi;armeabi-v7a,30,3.2,0
CG,R1,CG Inspiring Life,Android TV,1610MB,TV,Realtek RTD2841,2x ARM Mali 470 (600 MHz),720x1280,213,armeabi;armeabi-v7a,28,2,0
Riviera,songshan,Riviera,HIKA5,1877MB,TV,Mediatek t32,ARM Mali G52 (550 MHz),1080x1920,320,armeabi;armeabi-v7a,30,3.2,0
Contex,yeongdeungpo,Contex,Egypt,1416MB,TV,MStar T22,ARM Mali 470 (550 MHz),1080x1920,320,armeabi;armeabi-v7a,28,2,0
LinkNet,DTP2162,LinkNet,X1-Prime-i,1907MB,TV,Realtek RTD1319B,2x ARM Mali G31 (650 MHz),1080x1920,320,armeabi;armeabi-v7a,30,3.2,0
MAXSONIC-ELITE,zhongshan,Maxsonic Elite,Maxsonic_elite,1874MB,TV,Mediatek t31,ARM Mali G52 (550 MHz),1080x1920,320,armeabi;armeabi-v7a,30,3.2,0
SHARP,lc_le580t,Sharp,LC-LE580T,1478MB,TV,Mediatek MT5595,,1080x1920,320,armeabi;armeabi-v7a,23,3.1,0
Micromax,ikebukuro,Micromax,32CAM6SHD,951MB,TV,MStar T16,ARM Mali 470 (550 MHz),720x1280,213,armeabi;armeabi-v7a,28,2,0
Verizon,f354,Verizon,StreamTV,4063MB,TV,Broadcom BCM72180,,1080x1920,320,armeabi;armeabi-v7a,30,3.1,0
LGHelloVision,K1100UA,LG HelloVision,K1100UA,2792MB,TV,Broadcom BCM72160,,720x1280,213,armeabi;armeabi-v7a,29,3.1,0
